kum	 verb-pres 	kum	Intransitive:    (archaic) To die ; Compare 'gum
brgyab	 verb-past 	rgyag	Transitive:  Voluntary:   To throw, to fling; to hit, to beat, to strike ; The meaning of this verb differs according to context, e.g. to build; to shoot; to reply; to mark, etc. ;1. i. To strike, to hit. ii. A house, wall etc. to make new. iii. To propel to cast 2. In the colloquial language there are many definitions, used like ;To project, propel away, send off; to enter, place inside; to do; to make ; Root given as rgyab < *gryab (Beyer 1992: 4).
brgyab	 verb-fut 	rgyag	Transitive:  Voluntary:   To throw, to fling; to hit, to beat, to strike ; The meaning of this verb differs according to context, e.g. to build; to shoot; to reply; to mark, etc. ;1. i. To strike, to hit. ii. A house, wall etc. to make new. iii. To propel to cast 2. In the colloquial language there are many definitions, used like ;To project, propel away, send off; to enter, place inside; to do; to make ; Root given as rgyab < *gryab (Beyer 1992: 4).
rgyag	 verb-pres 	rgyag	Intransitive:  Involuntary:   To rise, to emit ;
brgyab	 verb-past 	rgyag	Intransitive:  Involuntary:   To rise, to emit ;
rgyag	 verb-fut 	rgyag	Intransitive:  Involuntary:   To rise, to emit ;
rgyags	 verb-pres 	rgyags	Intransitive: Voluntary:   To use provisions on a journey ; To give a bribe of wealth ; To be full, to be satisfied, to be satiated ;{:tag :ref, :attrs nil, :content ["LZ"]}
brgyags	 verb-past 	rgyags	Intransitive: Voluntary:   To use provisions on a journey ; To give a bribe of wealth ; To be full, to be satisfied, to be satiated ;{:tag :ref, :attrs nil, :content ["LZ"]}
brgyag	 verb-fut 	rgyags	Intransitive: Voluntary:   To use provisions on a journey ; To give a bribe of wealth ; To be full, to be satisfied, to be satiated ;{:tag :ref, :attrs nil, :content ["LZ"]}
rgyags	 verb-pres 	rgyags	Intransitive: Involuntary:   To be self satisfied, to be haughty, priggish ; To be self satisfied ;
rgyags	 verb-past 	rgyags	Intransitive: Involuntary:   To be self satisfied, to be haughty, priggish ; To be self satisfied ;
rgyags	 verb-fut 	rgyags	Intransitive: Involuntary:   To be self satisfied, to be haughty, priggish ; To be self satisfied ;
rgyang	 verb-pres 	rgyang	   To stretch, extend, stretch forth (one's hands to a person), put out (the tongue); spread; distend (the wings, a curtain) ; To cause to be delayed; to extend ; Root given as rgyang < *gryang (Beyer 1992: 85).
brgyangs	 verb-past 	rgyang	   To stretch, extend, stretch forth (one's hands to a person), put out (the tongue); spread; distend (the wings, a curtain) ; To cause to be delayed; to extend ; Root given as rgyang < *gryang (Beyer 1992: 85).
brgyang	 verb-fut 	rgyang	   To stretch, extend, stretch forth (one's hands to a person), put out (the tongue); spread; distend (the wings, a curtain) ; To cause to be delayed; to extend ; Root given as rgyang < *gryang (Beyer 1992: 85).
rgyan	 verb-pres 	rgyan	Transitive:  Voluntary:   To ornament; to beautify or to decorate, to wear or to put on ; To adorn, ornament ; To adorn, ornament, to decorate ;
brgyan(d)	 verb-past 	rgyan	Transitive:  Voluntary:   To ornament; to beautify or to decorate, to wear or to put on ; To adorn, ornament ; To adorn, ornament, to decorate ;
brgyan	 verb-fut 	rgyan	Transitive:  Voluntary:   To ornament; to beautify or to decorate, to wear or to put on ; To adorn, ornament ; To adorn, ornament, to decorate ;
rgyal	 verb-pres 	rgyal	Intransitive:  Involuntary:   To be victorious; to win; to conquer; to subdue, to overpower ; To win, conquer, subdue ; 1. To remain having defeated an opposing side or enemy. 2. To be superior than another ; To be victorious, to conquer ;
rgyal(d)	 verb-past 	rgyal	Intransitive:  Involuntary:   To be victorious; to win; to conquer; to subdue, to overpower ; To win, conquer, subdue ; 1. To remain having defeated an opposing side or enemy. 2. To be superior than another ; To be victorious, to conquer ;
rgyal	 verb-fut 	rgyal	Intransitive:  Involuntary:   To be victorious; to win; to conquer; to subdue, to overpower ; To win, conquer, subdue ; 1. To remain having defeated an opposing side or enemy. 2. To be superior than another ; To be victorious, to conquer ;
rgyu	 verb-pres 	rgyu	Intransitive:  Involuntary:   To go, walk, move, wander, range (this verb is generally used instead of ; To go; to move ; To go ;To move, to roam, to go; Compare 'gyu
rgyu	 verb-past 	rgyu	Intransitive:  Involuntary:   To go, walk, move, wander, range (this verb is generally used instead of ; To go; to move ; To go ;To move, to roam, to go; Compare 'gyu
rgyu	 verb-fut 	rgyu	Intransitive:  Involuntary:   To go, walk, move, wander, range (this verb is generally used instead of ; To go; to move ; To go ;To move, to roam, to go; Compare 'gyu
rgyug	 verb-pres 	rgyug	Intransitive:  Voluntary:   To run; to race ; 1. To run. 2. To flow. 3. To sell, engage in commerce ;
rgyug	 verb-past 	rgyug	Intransitive:  Voluntary:   To run; to race ; 1. To run. 2. To flow. 3. To sell, engage in commerce ;
rgyug	 verb-fut 	rgyug	Intransitive:  Voluntary:   To run; to race ; 1. To run. 2. To flow. 3. To sell, engage in commerce ;
rgyug	 verb-pres 	rgyug	Intransitive:  Voluntary:   To run ; To run a race; to make one run ; To race ;
brgyugs	 verb-past 	rgyug	Intransitive:  Voluntary:   To run ; To run a race; to make one run ; To race ;
brgyug	 verb-fut 	rgyug	Intransitive:  Voluntary:   To run ; To run a race; to make one run ; To race ;
rgyugs	 verb-pres 	rgyugs	   To serve; to serve drink ;
rgyugs	 verb-past 	rgyugs	   To serve; to serve drink ;
rgyugs	 verb-fut 	rgyugs	   To serve; to serve drink ;
rgyung	 verb-pres 	rgyung	Transitive:  Voluntary:   To wash the stomach (as with cleansing medicine) ;
rgyungs	 verb-past 	rgyung	Transitive:  Voluntary:   To wash the stomach (as with cleansing medicine) ;
rgyung	 verb-fut 	rgyung	Transitive:  Voluntary:   To wash the stomach (as with cleansing medicine) ;
rgyud	 verb-pres 	rgyud	Transitive:  Voluntary:   To tie, fasten, connect together ; To make a string of, to stick together ; To string; to put in line ; To put a rope or thread through a hole ; To thread, to string;
brgyus	 verb-past 	rgyud	Transitive:  Voluntary:   To tie, fasten, connect together ; To make a string of, to stick together ; To string; to put in line ; To put a rope or thread through a hole ; To thread, to string;
brgyu	 verb-fut 	rgyud	Transitive:  Voluntary:   To tie, fasten, connect together ; To make a string of, to stick together ; To string; to put in line ; To put a rope or thread through a hole ; To thread, to string;
rgyo	 verb-pres 	rgyo	 Voluntary:   To have sexual intercourse; (acc. to Cs.) To deflower, ravish ; To deflower; to have sexual intercourse ; To have sexual intercourse ;(archaic) To have sexual intercourse ;
brgyos	 verb-past 	rgyo	 Voluntary:   To have sexual intercourse; (acc. to Cs.) To deflower, ravish ; To deflower; to have sexual intercourse ; To have sexual intercourse ;(archaic) To have sexual intercourse ;
brgyo	 verb-fut 	rgyo	 Voluntary:   To have sexual intercourse; (acc. to Cs.) To deflower, ravish ; To deflower; to have sexual intercourse ; To have sexual intercourse ;(archaic) To have sexual intercourse ;
rgyong	 verb-pres 	rgyong	Intransitive:  Voluntary:   To extend, stretch forth, distend ; To extend, stretch out, set out, arrange ; To fill up, to stretch ;1. To stretch, to extend, to distend. 2. To fill up ; Root given as *rgyang < *gryang (Coblin 1986).
brgyangs	 verb-past 	rgyong	Intransitive:  Voluntary:   To extend, stretch forth, distend ; To extend, stretch out, set out, arrange ; To fill up, to stretch ;1. To stretch, to extend, to distend. 2. To fill up ; Root given as *rgyang < *gryang (Coblin 1986).
brgyang	 verb-fut 	rgyong	Intransitive:  Voluntary:   To extend, stretch forth, distend ; To extend, stretch out, set out, arrange ; To fill up, to stretch ;1. To stretch, to extend, to distend. 2. To fill up ; Root given as *rgyang < *gryang (Coblin 1986).
rgyor	 verb-pres 	rgyor	   To kill ;
	 verb-past 	rgyor	   To kill ;
	 verb-fut 	rgyor	   To kill ;
sgag	 verb-pres 	sgag	Transitive: Voluntary:   To ravish, to copulate; to embrace in sexual union ; To bind, to tie, to fasten ;
bsgags	 verb-past 	sgag	Transitive: Voluntary:   To ravish, to copulate; to embrace in sexual union ; To bind, to tie, to fasten ;
bsgag	 verb-fut 	sgag	Transitive: Voluntary:   To ravish, to copulate; to embrace in sexual union ; To bind, to tie, to fasten ;
sgang	 verb-pres 	sgang	 Voluntary:   To grow, become full (Cs.) ; To cause to fill ; Compare kheng
bsgang	 verb-past 	sgang	 Voluntary:   To grow, become full (Cs.) ; To cause to fill ; Compare kheng
bsgang	 verb-fut 	sgang	 Voluntary:   To grow, become full (Cs.) ; To cause to fill ; Compare kheng
sgab	 verb-pres 	sgab	Transitive: Voluntary:   To cover ; To cause to cover or to spread over; to cause to wear or patch ;1. To cover, to conceal. 2. To protect ; Compare the noun khebs
bsgabs	 verb-past 	sgab	Transitive: Voluntary:   To cover ; To cause to cover or to spread over; to cause to wear or patch ;1. To cover, to conceal. 2. To protect ; Compare the noun khebs
bsgab	 verb-fut 	sgab	Transitive: Voluntary:   To cover ; To cause to cover or to spread over; to cause to wear or patch ;1. To cover, to conceal. 2. To protect ; Compare the noun khebs
sgar	 verb-pres 	sgar	Transitive:  Voluntary:   To dip fry; to solidify in oil ; 1. To condense, solidify. 2. To attach, to fit, to insert ;
bsgar(d)	 verb-past 	sgar	Transitive:  Voluntary:   To dip fry; to solidify in oil ; 1. To condense, solidify. 2. To attach, to fit, to insert ;
bsgar	 verb-fut 	sgar	Transitive:  Voluntary:   To dip fry; to solidify in oil ; 1. To condense, solidify. 2. To attach, to fit, to insert ;
sgal	 verb-pres 	sgal	   To carry a load (on one's back), to cause a load to be carried on the back of a beast of burden ; Compare the noun khal
	 verb-past 	sgal	   To carry a load (on one's back), to cause a load to be carried on the back of a beast of burden ; Compare the noun khal
	 verb-fut 	sgal	   To carry a load (on one's back), to cause a load to be carried on the back of a beast of burden ; Compare the noun khal
sgug	 verb-pres 	sgug	Transitive:  Voluntary:   To wait ; To wait for ; This word may be a causative formed on a stem *gug. Perhaps it is cognate to 'gugs pa
bsgugs	 verb-past 	sgug	Transitive:  Voluntary:   To wait ; To wait for ; This word may be a causative formed on a stem *gug. Perhaps it is cognate to 'gugs pa
bsgug	 verb-fut 	sgug	Transitive:  Voluntary:   To wait ; To wait for ; This word may be a causative formed on a stem *gug. Perhaps it is cognate to 'gugs pa
sgur	 verb-pres 	sgur	Transitive:  Voluntary:   To become afraid ; To cause to bow down, to bend down ; (Of the body) To bend forward ; To bend, to bend down ;
bsgur(d)	 verb-past 	sgur	Transitive:  Voluntary:   To become afraid ; To cause to bow down, to bend down ; (Of the body) To bend forward ; To bend, to bend down ;
sgur	 verb-fut 	sgur	Transitive:  Voluntary:   To become afraid ; To cause to bow down, to bend down ; (Of the body) To bend forward ; To bend, to bend down ;
sgul	 verb-pres 	sgul	Transitive:  Voluntary:   To move, agitate, put in motion ; To shake; to cause to move ; 1. To make something move, or shake. 2. To cause a transformation ;To move, to shake, to agitate ;
bsgul(d)	 verb-past 	sgul	Transitive:  Voluntary:   To move, agitate, put in motion ; To shake; to cause to move ; 1. To make something move, or shake. 2. To cause a transformation ;To move, to shake, to agitate ;
bsgul	 verb-fut 	sgul	Transitive:  Voluntary:   To move, agitate, put in motion ; To shake; to cause to move ; 1. To make something move, or shake. 2. To cause a transformation ;To move, to shake, to agitate ;
sgeg	 verb-pres 	sgeg	   To brag, boast (Cs.) ; To be charming, graceful ;
	 verb-past 	sgeg	   To brag, boast (Cs.) ; To be charming, graceful ;
	 verb-fut 	sgeg	   To brag, boast (Cs.) ; To be charming, graceful ;
sgo	 verb-pres 	sgo	Transitive:  Voluntary:   (obsolete) To say; to speak, (mostly) to bid, to order ; To order; to cause to be predisposed; to be habituated ; 1. To make one thing to stick to or contaminate another thing. 2. To teach to another ; 1. To command, to order, to exhort, to instruct. 2. To be contaminated, to be polluted ;{:tag :ref, :attrs nil, :content ["CD"]}
bsgos	 verb-past 	sgo	Transitive:  Voluntary:   (obsolete) To say; to speak, (mostly) to bid, to order ; To order; to cause to be predisposed; to be habituated ; 1. To make one thing to stick to or contaminate another thing. 2. To teach to another ; 1. To command, to order, to exhort, to instruct. 2. To be contaminated, to be polluted ;{:tag :ref, :attrs nil, :content ["CD"]}
bsgo	 verb-fut 	sgo	Transitive:  Voluntary:   (obsolete) To say; to speak, (mostly) to bid, to order ; To order; to cause to be predisposed; to be habituated ; 1. To make one thing to stick to or contaminate another thing. 2. To teach to another ; 1. To command, to order, to exhort, to instruct. 2. To be contaminated, to be polluted ;{:tag :ref, :attrs nil, :content ["CD"]}
sgog	 verb-pres 	sgog	Transitive:  Voluntary:   To make one swear (Cs.) ; To make one swear; to cause to take an oath ; 1. To bind tightly. 2. To restrict, prohibit. 3. To coerce, force, compel ; To take an oath, to swear an oath ;
bsgags	 verb-past 	sgog	Transitive:  Voluntary:   To make one swear (Cs.) ; To make one swear; to cause to take an oath ; 1. To bind tightly. 2. To restrict, prohibit. 3. To coerce, force, compel ; To take an oath, to swear an oath ;
bsgag	 verb-fut 	sgog	Transitive:  Voluntary:   To make one swear (Cs.) ; To make one swear; to cause to take an oath ; 1. To bind tightly. 2. To restrict, prohibit. 3. To coerce, force, compel ; To take an oath, to swear an oath ;
sgong	 verb-pres 	sgong	Transitive: Voluntary:   To make in tea balls to eat [sic], to make round balls of dough (Cs.). ; To make a globular mass: to heap; to make paste for food ; To make into a ball (barley flower &c.) ;To make into a ball ;
bsgangs	 verb-past 	sgong	Transitive: Voluntary:   To make in tea balls to eat [sic], to make round balls of dough (Cs.). ; To make a globular mass: to heap; to make paste for food ; To make into a ball (barley flower &c.) ;To make into a ball ;
bsgang	 verb-fut 	sgong	Transitive: Voluntary:   To make in tea balls to eat [sic], to make round balls of dough (Cs.). ; To make a globular mass: to heap; to make paste for food ; To make into a ball (barley flower &c.) ;To make into a ball ;
sgong	 verb-pres 	sgong	Transitive: Voluntary:   To load firewood &c. on to a fire ; (dialect) To heap fuel onto a fire ;
sgong	 verb-past 	sgong	Transitive: Voluntary:   To load firewood &c. on to a fire ; (dialect) To heap fuel onto a fire ;
sgong	 verb-fut 	sgong	Transitive: Voluntary:   To load firewood &c. on to a fire ; (dialect) To heap fuel onto a fire ;
sgong	 verb-pres 	sgongs	   To hide; to conceal (a thing) (Sch.) ;
	 verb-past 	sgongs	   To hide; to conceal (a thing) (Sch.) ;
	 verb-fut 	sgongs	   To hide; to conceal (a thing) (Sch.) ;
sgom	 verb-pres 	sgom	Transitive:  Voluntary:   1. (originally) To fancy, imagine. 2.  (now, with accusative and dative) To meditate, contemplate systematically. 3. (with accusative and terminative, or with double accusative) To have; to entertain; to reproduce (in one's mind) ; To meditate, to practice meditation; to cultivate in meditation ;To bring to memory again and again in the mind ; To meditate ;
bsgoms	 verb-past 	sgom	Transitive:  Voluntary:   1. (originally) To fancy, imagine. 2.  (now, with accusative and dative) To meditate, contemplate systematically. 3. (with accusative and terminative, or with double accusative) To have; to entertain; to reproduce (in one's mind) ; To meditate, to practice meditation; to cultivate in meditation ;To bring to memory again and again in the mind ; To meditate ;
bsgom	 verb-fut 	sgom	Transitive:  Voluntary:   1. (originally) To fancy, imagine. 2.  (now, with accusative and dative) To meditate, contemplate systematically. 3. (with accusative and terminative, or with double accusative) To have; to entertain; to reproduce (in one's mind) ; To meditate, to practice meditation; to cultivate in meditation ;To bring to memory again and again in the mind ; To meditate ;
sgor	 verb-pres 	sgor	Transitive:  Voluntary:   1. To boil down; to condense by boiling. 2. To turn on a lathe (Jä) ; 1. To make syrup by boiling down tree sap. 2. (dialect) To invert a vessel ;
bsgar(d)	 verb-past 	sgor	Transitive:  Voluntary:   1. To boil down; to condense by boiling. 2. To turn on a lathe (Jä) ; 1. To make syrup by boiling down tree sap. 2. (dialect) To invert a vessel ;
bsgar	 verb-fut 	sgor	Transitive:  Voluntary:   1. To boil down; to condense by boiling. 2. To turn on a lathe (Jä) ; 1. To make syrup by boiling down tree sap. 2. (dialect) To invert a vessel ;
sgyang	 verb-pres 	sgyang	Transitive:  Voluntary:   To cause a delay ; Compare 'gyangs
bsgyangs	 verb-past 	sgyang	Transitive:  Voluntary:   To cause a delay ; Compare 'gyangs
bsgyang	 verb-fut 	sgyang	Transitive:  Voluntary:   To cause a delay ; Compare 'gyangs
sgying	 verb-pres 	sgying	Transitive:  Voluntary:   To yawn, to gape ; To display emotion through physical posture ; To yawn and to stretch out the limbs when tired. 2. To straighten. 3. To leap, jump, to be erect. 1. To sigh, to stretch the limbs. 2. To straighten. 3. To leap, to  jump, to act haughtily ;
bsgyings	 verb-past 	sgying	Transitive:  Voluntary:   To yawn, to gape ; To display emotion through physical posture ; To yawn and to stretch out the limbs when tired. 2. To straighten. 3. To leap, jump, to be erect. 1. To sigh, to stretch the limbs. 2. To straighten. 3. To leap, to  jump, to act haughtily ;
bsgying	 verb-fut 	sgying	Transitive:  Voluntary:   To yawn, to gape ; To display emotion through physical posture ; To yawn and to stretch out the limbs when tired. 2. To straighten. 3. To leap, jump, to be erect. 1. To sigh, to stretch the limbs. 2. To straighten. 3. To leap, to  jump, to act haughtily ;
sgyur	 verb-pres 	sgyur	Transitive:  Voluntary:   1. To transform, alter, change, to correct; translate; revise. 2. To cast aside; dissuade, divert; to turn; to cause to turn. 3. To govern, steer, control ;  To multiply, increase ; To translate; to change; to transform; to multiply ; 1. To change, transform (method, essence, characteristic, direction, &c.). 2. To translate. 3. To take control, power. 4. To make various kinds of sound appear (from an instrument &c.). 5. To multiply. 6. To show various styles of body (as in dance &c.). 7. To drive away, expel, repel, reverse ;1. To change, to transform, to alter. 2. To translate, to interpret. 3. (math) To multiply, times, fold ;
bsgyur(d)	 verb-past 	sgyur	Transitive:  Voluntary:   1. To transform, alter, change, to correct; translate; revise. 2. To cast aside; dissuade, divert; to turn; to cause to turn. 3. To govern, steer, control ;  To multiply, increase ; To translate; to change; to transform; to multiply ; 1. To change, transform (method, essence, characteristic, direction, &c.). 2. To translate. 3. To take control, power. 4. To make various kinds of sound appear (from an instrument &c.). 5. To multiply. 6. To show various styles of body (as in dance &c.). 7. To drive away, expel, repel, reverse ;1. To change, to transform, to alter. 2. To translate, to interpret. 3. (math) To multiply, times, fold ;
bsgyur	 verb-fut 	sgyur	Transitive:  Voluntary:   1. To transform, alter, change, to correct; translate; revise. 2. To cast aside; dissuade, divert; to turn; to cause to turn. 3. To govern, steer, control ;  To multiply, increase ; To translate; to change; to transform; to multiply ; 1. To change, transform (method, essence, characteristic, direction, &c.). 2. To translate. 3. To take control, power. 4. To make various kinds of sound appear (from an instrument &c.). 5. To multiply. 6. To show various styles of body (as in dance &c.). 7. To drive away, expel, repel, reverse ;1. To change, to transform, to alter. 2. To translate, to interpret. 3. (math) To multiply, times, fold ;
sgyel	 verb-pres 	sgyel	Intransitive:  Voluntary:   To throw down, to overturn, to lay or put down (a bottle, a book); to thwart (the charm of an enemy); to kill (Jä) ; To cause to fall down; to cause to break down, to overturn ; To cause to a person or upright thing to lie horizontally ; To cause to fall down, to bring down to overthrow, to thwart, to be thrown down ; Compare dgyel
bsgyel(d)	 verb-past 	sgyel	Intransitive:  Voluntary:   To throw down, to overturn, to lay or put down (a bottle, a book); to thwart (the charm of an enemy); to kill (Jä) ; To cause to fall down; to cause to break down, to overturn ; To cause to a person or upright thing to lie horizontally ; To cause to fall down, to bring down to overthrow, to thwart, to be thrown down ; Compare dgyel
bsgyel	 verb-fut 	sgyel	Intransitive:  Voluntary:   To throw down, to overturn, to lay or put down (a bottle, a book); to thwart (the charm of an enemy); to kill (Jä) ; To cause to fall down; to cause to break down, to overturn ; To cause to a person or upright thing to lie horizontally ; To cause to fall down, to bring down to overthrow, to thwart, to be thrown down ; Compare dgyel
sgyong	 verb-pres 	sgyong	   1. To fill, to stuff (a sausage). 2. (colloquial in West) to put into (the pocket) ; Perhaps originally = sgong
bsgyongs	 verb-past 	sgyong	   1. To fill, to stuff (a sausage). 2. (colloquial in West) to put into (the pocket) ; Perhaps originally = sgong
bsgyong	 verb-fut 	sgyong	   1. To fill, to stuff (a sausage). 2. (colloquial in West) to put into (the pocket) ; Perhaps originally = sgong
sgral	 verb-pres 	sgral	   1. To cut into small pieces, viz. the picture of an enemy one wishes to destroy (Jä). 2. To pass over or travel upon a river or sea ;
	 verb-past 	sgral	   1. To cut into small pieces, viz. the picture of an enemy one wishes to destroy (Jä). 2. To pass over or travel upon a river or sea ;
	 verb-fut 	sgral	   1. To cut into small pieces, viz. the picture of an enemy one wishes to destroy (Jä). 2. To pass over or travel upon a river or sea ;
sgrig	 verb-pres 	sgrig	Transitive:  Voluntary:   To arrange in order or row, to lay or put in order, to arrange, adjust; to put or fit together; to join (the separate parts), to compile (books), to stitch close [sic](books etc.) ; To put in order; to arrange or to rectify ; 1. To arrange in a certain plain, order. 2. To collect in one place. 3. To mutually agree, be in one house ;1. To arrange, to put in order, to align. 2. To compile, to collect, to edit, to assemble, to join together ;
bsgrigs	 verb-past 	sgrig	Transitive:  Voluntary:   To arrange in order or row, to lay or put in order, to arrange, adjust; to put or fit together; to join (the separate parts), to compile (books), to stitch close [sic](books etc.) ; To put in order; to arrange or to rectify ; 1. To arrange in a certain plain, order. 2. To collect in one place. 3. To mutually agree, be in one house ;1. To arrange, to put in order, to align. 2. To compile, to collect, to edit, to assemble, to join together ;
bsgrig	 verb-fut 	sgrig	Transitive:  Voluntary:   To arrange in order or row, to lay or put in order, to arrange, adjust; to put or fit together; to join (the separate parts), to compile (books), to stitch close [sic](books etc.) ; To put in order; to arrange or to rectify ; 1. To arrange in a certain plain, order. 2. To collect in one place. 3. To mutually agree, be in one house ;1. To arrange, to put in order, to align. 2. To compile, to collect, to edit, to assemble, to join together ;
sgrin	 verb-pres 	sgrin	Transitive: Voluntary:   To have a competition; to cause to compete or to compare ; (archaic) To contest for victory ;To rival, compete with, to compare ;
bsgrin(d)	 verb-past 	sgrin	Transitive: Voluntary:   To have a competition; to cause to compete or to compare ; (archaic) To contest for victory ;To rival, compete with, to compare ;
bsgrin	 verb-fut 	sgrin	Transitive: Voluntary:   To have a competition; to cause to compete or to compare ; (archaic) To contest for victory ;To rival, compete with, to compare ;
sgrib	 verb-pres 	sgrib	Transitive: Voluntary:   To obscure; to cover, to darken, defile ; To cover, to hide by covering, to hide ;To cover, hide, create an obstacle for seeing something ;To obscure, to cover, to conceal ;
bsgribs	 verb-past 	sgrib	Transitive: Voluntary:   To obscure; to cover, to darken, defile ; To cover, to hide by covering, to hide ;To cover, hide, create an obstacle for seeing something ;To obscure, to cover, to conceal ;
bsgrib	 verb-fut 	sgrib	Transitive: Voluntary:   To obscure; to cover, to darken, defile ; To cover, to hide by covering, to hide ;To cover, hide, create an obstacle for seeing something ;To obscure, to cover, to conceal ;
sgrim	 verb-pres 	sgrim	Transitive:  Voluntary:   1. To hold fast; to force or twist together; to endeavor; (Cs.) to squeeze in, crow in, (Sch.) to be confused ; To concentrate; to exercise the mental power on; to pay attention; to spin or twist the threads together, to entwine ;1. To tightly spin (rope, thread &c.). 2. To be intelligent, careful ; 1. To concentrate, to focus. 2. To twist together ;
bsgrims	 verb-past 	sgrim	Transitive:  Voluntary:   1. To hold fast; to force or twist together; to endeavor; (Cs.) to squeeze in, crow in, (Sch.) to be confused ; To concentrate; to exercise the mental power on; to pay attention; to spin or twist the threads together, to entwine ;1. To tightly spin (rope, thread &c.). 2. To be intelligent, careful ; 1. To concentrate, to focus. 2. To twist together ;
bsgrim	 verb-fut 	sgrim	Transitive:  Voluntary:   1. To hold fast; to force or twist together; to endeavor; (Cs.) to squeeze in, crow in, (Sch.) to be confused ; To concentrate; to exercise the mental power on; to pay attention; to spin or twist the threads together, to entwine ;1. To tightly spin (rope, thread &c.). 2. To be intelligent, careful ; 1. To concentrate, to focus. 2. To twist together ;
sgril(d)	 verb-pres 	sgril	Transitive:  Voluntary:   To make a roll of, to roll, wrap up; to wind into a spool ; To fold, to wrap up; to cause to fold or roll up; to combine ; 1. To make something roll. 2. To roll up, make into a ball. 3. To twist, braid, spin (rope and thread) ;  1. To twist, to wind. 2. To combine, to muster. 3. To stuff. 4. To barter, to convert currency, to exchange currency, exchange merchandise. 5. (math) To convert lower digits into higher numeric places ;{:tag :ref, :attrs nil, :content ["(Róna-Tas 1978: 359) ."]}
bsgril(d)	 verb-past 	sgril	Transitive:  Voluntary:   To make a roll of, to roll, wrap up; to wind into a spool ; To fold, to wrap up; to cause to fold or roll up; to combine ; 1. To make something roll. 2. To roll up, make into a ball. 3. To twist, braid, spin (rope and thread) ;  1. To twist, to wind. 2. To combine, to muster. 3. To stuff. 4. To barter, to convert currency, to exchange currency, exchange merchandise. 5. (math) To convert lower digits into higher numeric places ;{:tag :ref, :attrs nil, :content ["(Róna-Tas 1978: 359) ."]}
bsgril	 verb-fut 	sgril	Transitive:  Voluntary:   To make a roll of, to roll, wrap up; to wind into a spool ; To fold, to wrap up; to cause to fold or roll up; to combine ; 1. To make something roll. 2. To roll up, make into a ball. 3. To twist, braid, spin (rope and thread) ;  1. To twist, to wind. 2. To combine, to muster. 3. To stuff. 4. To barter, to convert currency, to exchange currency, exchange merchandise. 5. (math) To convert lower digits into higher numeric places ;{:tag :ref, :attrs nil, :content ["(Róna-Tas 1978: 359) ."]}
sgrug	 verb-pres 	sgrug	Transitive:  Voluntary:   To collect, gather, pluck, pick ; To collect; to pick up ; 1. To gather, collect. 2. (in some dialects) To take care of, preserve ; To pick up, to gather, to collect ;
bsgrugs	 verb-past 	sgrug	Transitive:  Voluntary:   To collect, gather, pluck, pick ; To collect; to pick up ; 1. To gather, collect. 2. (in some dialects) To take care of, preserve ; To pick up, to gather, to collect ;
bsgrug	 verb-fut 	sgrug	Transitive:  Voluntary:   To collect, gather, pluck, pick ; To collect; to pick up ; 1. To gather, collect. 2. (in some dialects) To take care of, preserve ; To pick up, to gather, to collect ;
sgrung	 verb-pres 	sgrung	Transitive:  Voluntary:   To mix, to invert, to feign (Cs.) ; To cause to purify ; To absorb, having been wet in water ;  To dissolve ;
bsgrungs	 verb-past 	sgrung	Transitive:  Voluntary:   To mix, to invert, to feign (Cs.) ; To cause to purify ; To absorb, having been wet in water ;  To dissolve ;
bsgrung	 verb-fut 	sgrung	Transitive:  Voluntary:   To mix, to invert, to feign (Cs.) ; To cause to purify ; To absorb, having been wet in water ;  To dissolve ;
sgrun	 verb-pres 	sgrun	Transitive:  Voluntary:   1. To resound; to reply in the same tone; to rival. 2. To compare; emulate, vie, contend with (Cs.) ; To have competition; to compete; to compare ; To compete, rival ; To rival, to compare ;
bsgrun(d)	 verb-past 	sgrun	Transitive:  Voluntary:   1. To resound; to reply in the same tone; to rival. 2. To compare; emulate, vie, contend with (Cs.) ; To have competition; to compete; to compare ; To compete, rival ; To rival, to compare ;
bsgrun	 verb-fut 	sgrun	Transitive:  Voluntary:   1. To resound; to reply in the same tone; to rival. 2. To compare; emulate, vie, contend with (Cs.) ; To have competition; to compete; to compare ; To compete, rival ; To rival, to compare ;
sgrub	 verb-pres 	sgrub	Transitive:  Voluntary:   To complete, finish, carry out, accomplish ; To carry out; to accomplish; to perform ; 1. To do an action. 2. To judge the truth, having presented arguments and scriptural citations. 3. To take on the means of religion ; 1. To attain, to do, to perform, to carry out, to execute. 2. To procure, to gain to acquire through effort. 3. (logic) To prove, to affirm, to establish, to establish a proof. 4. (math) To calculate, to find the value of, to make. 5. To attain, to practice religion, to perfect ;
bsgrubs	 verb-past 	sgrub	Transitive:  Voluntary:   To complete, finish, carry out, accomplish ; To carry out; to accomplish; to perform ; 1. To do an action. 2. To judge the truth, having presented arguments and scriptural citations. 3. To take on the means of religion ; 1. To attain, to do, to perform, to carry out, to execute. 2. To procure, to gain to acquire through effort. 3. (logic) To prove, to affirm, to establish, to establish a proof. 4. (math) To calculate, to find the value of, to make. 5. To attain, to practice religion, to perfect ;
